ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
BACB0000001,Bassein Catholic Co-Op Bank Ltd,BACB0000001,,HEAD OFFICE,"CATHOLIC BANK BUILDING,PAPDY NAKA.VASAI-401207",THANE,,,MAHARASHTRA
BACB0000002,Bassein Catholic Co-Op Bank Ltd,BACB0000002,400238002,HEAD OFFICE,"CATHOLIC BANK BUILDING,PAPDY NAKA.VASAI-401207",THANE,,,MAHARASHTRA
BACB0000003,Bassein Catholic Co-Op Bank Ltd,BACB0000003,400238003,PAPDY,"SAROVAR, 'B' BUILDING, PAPDY, POST : PAPDY, TAL:VASAI, DIST : THANE, 401 207",THANE,,,MAHARASHTRA
BACB0000004,Bassein Catholic Co-Op Bank Ltd,BACB0000004,400238004,BANGLI,"BANGLI, SANDOR, POST : VASAI, TAL: VASAI, DIST: THANE, 401 201",THANE,,,MAHARASHTRA
BACB0000005,Bassein Catholic Co-Op Bank Ltd,BACB0000005,400238005,HOLI,"HOLI BAZAR, PAN-KELA MARKET, TAL & P.O. VASAI, DIST : THANE, 401 201",THANE,,,MAHARASHTRA
BACB0000006,Bassein Catholic Co-Op Bank Ltd,BACB0000006,400238006,MANICKPUR,"LAWRENCE SHOPPING CENTRE,NAVGHAR, P.O.VASAI ROAD,TAL : VASAI, DIST : THANE, 401 202",THANE,,,MAHARASHTRA
BACB0000007,Bassein Catholic Co-Op Bank Ltd,BACB0000007,400238007,NANDAKHAL,"NEAR NANDAKHAL CHURCH,NANDAKHAL, P.O. AGASHI, TAL: VASAI, DIST: THANE, 401 301",THANE,,,MAHARASHTRA
BACB0000008,Bassein Catholic Co-Op Bank Ltd,BACB0000008,400238008,NIRMAL,"NIRMAL NAKA,POST NIRMAL, TAL. VASAI,DIST .THANE, PIN-401304",THANE,,,MAHARASHTRA
BACB0000009,Bassein Catholic Co-Op Bank Ltd,BACB0000009,400238009,UMRALE,"FRENCY ARCADE,SAMELPADA,UMRALE,POST:SOPARA, NALLASOPARA(W), TAL:VASAI, 401 203",THANE,,,MAHARASHTRA
BACB0000010,Bassein Catholic Co-Op Bank Ltd,BACB0000010,400238010,AGASHI,"SUVARTA SADAN, NEAR FISH MARKET, AGASHI, POST- AGASHI, TAL. VASAI, DIST- THANE,PIN-401301",THANE,,,MAHARASHTRA
BACB0000011,Bassein Catholic Co-Op Bank Ltd,BACB0000011,400238011,NAIGAON,"KOLAMBEKAR PARK,'B' BLDG.,NEAR NAIGAON STATION,POST:PAPDY,TAL:VASAI,DIST:THANE, 401 207",THANE,,,MAHARASHTRA
BACB0000012,Bassein Catholic Co-Op Bank Ltd,BACB0000012,400238012,BHAYANDER,"ROSEBEN ENCLAVE, FIRST FLOOR, STATION ROAD, BHAYANDER(W), 401 105",THANE,,,MAHARASHTRA
BACB0000013,Bassein Catholic Co-Op Bank Ltd,BACB0000013,400238013,UTTAN,"MINAZ SHOPPING CENTER',UTTAN NAKA, VIA - BHAYANDER, DIST.THANE - 401 106",THANE,,,MAHARASHTRA
BACB0000014,Bassein Catholic Co-Op Bank Ltd,BACB0000014,400238014,MIRA RD.,"SHEETAL SAROVAR, SHEETAL NAGAR, NEAR MIRA ROAD TEL. EXCHANGE, MIRA ROAD(E), DIST:THANE, 401 107",THANE,,,MAHARASHTRA
BACB0000015,Bassein Catholic Co-Op Bank Ltd,BACB0000015,400238015,ZENDA BAZAR,"MOTISHA BHAVAN, NEAR DEEMPAL, ZENDABAZAR, TAL : VASAI, DIST : THANE, 401 201",THANE,,,MAHARASHTRA
BACB0000016,Bassein Catholic Co-Op Bank Ltd,BACB0000016,400238016,THANE,"SUVRAT CO-OPERATIVE HOUSING SOCIETY LTD, SUVRAT APARTMENT, 1ST FLOOR, NEAR JAIN TEMPLE, BHAWANI CHOWK,TEMBHI NAKA, THANE-401601",THANE,,,MAHARASHTRA
BACB0000017,Bassein Catholic Co-Op Bank Ltd,BACB0000017,400238017,NALLASOPARA,"SAI KIRAN BUILDING , NARAYAN NAGAR, NALLASOPARA(E), TAL.VASAI, DIST - THANE, PIN CODE-401209",THANE,,,MAHARASHTRA
BACB0000018,Bassein Catholic Co-Op Bank Ltd,BACB0000018,400238018,GOKHIVARE,"GOKHIVARE NAKA, POST : GOKHIVARE, TAL :VASAI, DIST : THANE, 401 208",THANE,,,MAHARASHTRA
BACB0000019,Bassein Catholic Co-Op Bank Ltd,BACB0000019,400238019,VIRAR,"NEAR POLICE STATION, POST : VIRAR (E), TAL: VASAI, 401 305",THANE,,,MAHARASHTRA
BACB0000020,Bassein Catholic Co-Op Bank Ltd,BACB0000020,400238020,MADINAKA,"SAHAKAR BHAVAN, MADINAKA, MERCES, TAL & POST : VASAI, DIST : THANE, 401 201",THANE,,,MAHARASHTRA
BACB0000021,Bassein Catholic Co-Op Bank Ltd,BACB0000021,400238021,GASS,"ST. GONSALO GARCIA SCHOOL BUILDING, GASS, POST : SOPARA, TAL : VASAI, DIST : THANE, 401 203",THANE,,,MAHARASHTRA
BACB0000022,Bassein Catholic Co-Op Bank Ltd,BACB0000022,400238022,NANBHAT,"ST. PAUL CHURCH BUILDING, NANBHAT, POST: SOPARA, TAL : VASAI, DIST : THANE, 401 203",THANE,,,MAHARASHTRA
BACB0000023,Bassein Catholic Co-Op Bank Ltd,BACB0000023,400238023,GIRIZ,"GIRIZ CHURCH SCHOOL COMPOUND, GIRIZ, TAL & POST : VASAI, DIST : THANE, 401 201",THANE,,,MAHARASHTRA
BACB0000024,Bassein Catholic Co-Op Bank Ltd,BACB0000024,400238024,BHUIGAON,"BHUIGAON CHURCH SCHOOL COMPOUND, BHUIGAON, TAL & POST : VASAI, DIST : THANE, 401 201",THANE,,,MAHARASHTRA
BACB0000025,Bassein Catholic Co-Op Bank Ltd,BACB0000025,400238025,ARNALA,"ST. PETER SCHOOL, ARNALA, TAL.VASAI, DIST .THANE , PIN-401302",THANE,,,MAHARASHTRA
BACB0000026,Bassein Catholic Co-Op Bank Ltd,BACB0000026,401238026,MAROL,"KOSHYA APPARTMENT, BAMANPURI ROAD, OPP. GREATER BOMBAY BANK LTD., J. B. NAGAR, MAROL, ANDHERI (E), MUMBAI - 400059",THANE,,,MAHARASHTRA
BACB0000027,Bassein Catholic Co-Op Bank Ltd,BACB0000027,400238027,VASHI,"PREMISES NO. 003-004, GROUND FLOOR, RED ROSE CO-OP. HSG. SOC. LTD, PLOT NO.27, SECTOR NO. 2, VASHI, NAVI MUMBAI - 400 076",THANE,,,MAHARASHTRA
