ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
YESB0MDCB01,Yes Bank Ltd,YESB0MDCB01,NOT AVAILABLE,MALDA DISTRICT CENTRAL CO-OP BANK - HEAD OFFICE SERVICE BRANCH,SARJU PRASAD ROAD,,MALDA,MALDA- 732101.,WEST BENGAL
YESB0NIE001,Yes Bank Ltd,YESB0NIE001,700017251,NATIONAL I E COOP C & BANKING SOC L - HEAD OFFICE,"7, COUNCIL HOUSE STREET KOLKATA-700001",YES TOUCH PHONE BANKING: +91 9958390909,KOLKATA,KOLKATA,WEST BENGAL
YESB0000001,Yes Bank Ltd,YESB0000001,400532002,"WORLI, MUMBAI","NEHRU CENTRE, 9TH FLOOR, DISCOVERY OF INDIA, DR. A.B. ROAD, WORLI, MUMBAI – 400 018, INDIA.",CONTACTUS@YESBANK.IN,MUMBAI,GREATER BOMBAY,MAHARASHTRA
YESB0000002,Yes Bank Ltd,YESB0000002,110532003,GURGAON,"GURGAON, 
FORTUNE GLOBAL ARCADE,SIKANDERPUR,
MEHRAULI GURGAON ROAD,
GURGAON HARYANA 122 002",CONTACTUS@YESBANK.IN,GURGAON,GURGAON,HARYANA
YESB0000003,Yes Bank Ltd,YESB0000003,110532002,"CHANAKYAPURI, NEW DELHI","48, NYAYA MARG, CHANAKYA PURI, NEW DELHI- 110 021",CONTACTUS@YESBANK.IN,DELHI,NEW DELHI,DELHI
YESB0000004,Yes Bank Ltd,YESB0000004,400532003,NARIMAN POINT,"NARIMAN POINT,
MITTAL CHAMBERS,
NARIMAN POINT MUMBAI MAHARASHTRA 400 021",CONTACTUS@YESBANK.IN,MUMBAI,GREATER BOMBAY,MAHARASHTRA
YESB0000005,Yes Bank Ltd,YESB0000005,600532002,"NUNGAMBAKKAM, CHENNAI","
NUNGAMBAKKAM 
UTHAMAR GANDHI SALAI,
OPP PARK HOTEL,NUNGAMBAKKAM,
CHENNAI TAMIL NADU600 034",CONTACTUS@YESBANK.IN,CHENNAI,CHENNAI,TAMIL NADU
YESB0000006,Yes Bank Ltd,YESB0000006,500532001,"SOMAJIGUDA, HYDERABAD","SOMAJIGUDA, 
MAYANK TOWERS,SURVEY NO.31 
(OLD),31/2 (NEW) RAJ BHAVAN ROAD,
SOMAJIGUDA,
HYDERABAD ANDHRA PRADESH 500 082",CONTACTUS@YESBANK.IN,HYDERABAD,HYDERABAD URBAN,ANDHRA PRADESH
YESB0000007,Yes Bank Ltd,YESB0000007,380532002,AHMEDABAD,"AHMEDABAD, 102/103, CG CENTRE, CG ROAD, AHMEDABAD GUJRAT 380 009",CONTACTUS@YESBANK.IN,AHMEDABAD,AHMEDABAD,GUJARAT
YESB0000008,Yes Bank Ltd,YESB0000008,411532002,PUNE,"101,GR+ MEZZ, KARAN SELENE, BHANDARKAR ROAD, SHIVAJI NAGAR, PUNE 411004",CONTACTUS@YESBANK.IN,PUNE,PUNE,MAHARASHTRA
YESB0000009,Yes Bank Ltd,YESB0000009,390532002,VADODARA,"GR+ MEZZ, CORNER SQUARE, RACE COURSE CIRCLE, BARODA  390007.",CONTACTUS@YESBANK.IN,VADODARA,GANDHINAGAR,GUJARAT
YESB0000010,Yes Bank Ltd,YESB0000010,400532004,ANDHERI(W),"G1,GRND FLOOR,VALECHA CHAMBERS,PLOT B-6,,NEW LINK ROAD,ANDHERI(W),MUMBAI-4000053",CONTACTUS@YESBANK.IN,MUMBAI,GREATER BOMBAY,MAHARASHTRA
YESB0000011,Yes Bank Ltd,YESB0000011,395532002,SURAT,"GROUND FLOOR, MANGAL DEEP, RING ROAD, (LANDMARK: NEAR MAHVIR HEART HOSPITAL--- NR. RTO), SURAT- 395001",CONTACTUS@YESBANK.IN,SURAT,SURAT,GUJARAT
YESB0000012,Yes Bank Ltd,YESB0000012,NON MICR,MANDI GOBINDGARH,"SHOWROOM NO. 21, SECTOR 19 A , GROUND FLOOR,N.R. PLAZA, GRAND TRUNK ROAD, MANDI GOBINDGARH, DISTRICT FATEHGARH SAHIB PUNJAB 147 301",CONTACTUS@YESBANK.IN,FATEHGARH SAHIB,FATEHGARH SAHEB,PUNJAB
YESB0000013,Yes Bank Ltd,YESB0000013,190532002,SRINAGAR,"UNIT NO 1-6, 2ND FLOOR, M.S. MALL SITE, RESIDENCY ROAD ESTATE  SRINAGAR",CONTACTUS@YESBANK.IN,LUCKNOW,LUCKNOW,UTTAR PRADESH
YESB0000014,Yes Bank Ltd,YESB0000014,110532007,NOIDA,"GROUND FLOOR A-356, SECTOR 19, NOIDA, UTTAR PRADESH. 201301.",CONTACTUS@YESBANK.IN,SRINAGAR,SRINAGAR,JAMMU & KASHMIR
