ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
UBIN0530018,Union Bank of India,UBIN0530018,781026002,GUWAHATI MAIN,"KAMRUP CHAMBER ROAD, FANCY BAZAR,POST BOX NO. 56, TALUKA - GUWAHATI,DIST. KAMRUP, ASSAM, PIN - 781 001.",2544727,GUWAHATI,KAMRUP,ASSAM
UBIN0530026,Union Bank of India,UBIN0530026,800026002,PATNA MAIN,"ABHAY BHAVAN, FRAZER ROAD,POST BOX NO. 53, PATNA, BIHAR,PIN - 800 001.",,PATNA,PATNA,BIHAR
UBIN0530034,Union Bank of India,UBIN0530034,NON MICR,MUZAFFARPUR MAIN,"UNION BANK OF INDIA, MUZAFFARPUR, SAFI DAUDI MARKET, MOTIJHEEL,, P.B. NO. 41, DIST. MUZAFFARPUR, BIHAR,, PIN - 842 001.",2245221,MUZAFFARPUR,MUZAFFARPUR,BIHAR
UBIN0530042,Union Bank of India,UBIN0530042,NON MICR,GAYA," DHAMITOLA, POST BOX NO.18, 
 DIST. GAYA, BIHAR, PIN - 823 001. ","(0631)-2420294,2425526",GAYA,GAYA,BIHAR
UBIN0530051,Union Bank of India,UBIN0530051,NON MICR,JAMALPUR GOGRI,"AT & POST JAMALPUR GOGRI,  DIST. KHAGARIA, BIHAR,  PIN - 851 203",06245-211254,GOGRI JAMALPUR,KHAGARIA,BIHAR
UBIN0530069,Union Bank of India,UBIN0530069,NON MICR,GIRIDIH,"POST BOX NO.62, KUTCHERY ROAD,  POST & DIST. GIRIDIH, JHARKHAND,  PIN - 815 301  ",06532-250724,GIRIDIH,GIRIDIH,JHARKHAND
UBIN0530077,Union Bank of India,UBIN0530077,NON MICR,JAINAMORE,"AT & POST JAINAMORE, VIA BOKARO STEEL CITY, DIST. BOKARO, JHARKHAND,  PIN - 829 301",6542-250379,JAINMORE,BOKARO,JHARKHAND
UBIN0530085,Union Bank of India,UBIN0530085,834026002,RANCHI (MAIN),"KUTCHERY ROAD, RANCHI, DIST. RANCHI,JHARKHAND,PIN - 834 001.",,RANCHI,RANCHI,JHARKHAND
UBIN0530093,Union Bank of India,UBIN0530093,NON MICR,SILLI,AT  POST SILLI SILL MAIN ROAD DIST. RANCHI  DIST. RANCHI JHARKHAND PIN  835102.,(06522)-244615,SILLI,RANCHI,JHARKHAND
UBIN0530107,Union Bank of India,UBIN0530107,NON MICR,MURI SSI," AT MURI, POST CHOTA MURI, 
 DIST. RANCHI, JHARKHAND, 
 PIN - 835 101. ",(06522)-244614,MURI,RANCHI,JHARKHAND
UBIN0530115,Union Bank of India,UBIN0530115,831026002,JAMSHEDPUR,"KAMANI CENTRE, 1ST FLOOR, BISTUPUR, JAMSHEDPUR,DIST. SINGHBHUM(EAST), JHARKHAND,PIN - 831 001.",,JAMSHEDPUR,PURBI SINGHBHUM,JHARKHAND
UBIN0530123,Union Bank of India,UBIN0530123,700026007,BALLYGANJ - KOLKATA,"26/6, HINDUSTAN PARK,GARIAHAT ROAD, KOLKATA,WEST BENGAL, PIN - 700 029.",,KOLKATA,KOLKATA,WEST BENGAL
UBIN0530131,Union Bank of India,UBIN0530131,700026006,DHARAMTOLLA - KOLKATA,"5, CHOWRINGHEE PLACE, POST BOX NO.8924,KOLKATA, WEST BENGAL,PIN - 700 013.",,KOLKATA,KOLKATA,WEST BENGAL
UBIN0530140,Union Bank of India,UBIN0530140,700026008,SUNDARI MOHAN AVENUE - KOLKATA,"33/1, DR. SUNDARI MOHAN AVENUE,KOLKATA, WEST BENGAL,PIN - 700 014.",,KOLKATA,KOLKATA,WEST BENGAL
UBIN0530158,Union Bank of India,UBIN0530158,700026002,EZRA STREET - KOLKATA,"55/58, EZRA STREET, POST BOX NO. 2479,KOLKATA, WEST BENGAL,PIN - 700 001.",,KOLKATA,KOLKATA,WEST BENGAL
UBIN0530166,Union Bank of India,UBIN0530166,700026003,INDIA EXCHANGE PLACE - KOLKATA,"15, INDIA EXCHANGE PLACE, KOLKATA,WEST BENGAL, PIN - 700 001.",,KOLKATA,KOLKATA,WEST BENGAL
UBIN0530174,Union Bank of India,UBIN0530174,700 026 004,KOLKATTA,"138/2,BIDHAN SARANI,PB.NO.16603, KOLKATTA-700004.WB.",,KOLKATA,KOLKATA,WEST BENGAL
UBIN0530182,Union Bank of India,UBIN0530182,700026005,STRAND ROAD - KOLKATA,"38, STRAND ROAD, BINANI BUILDING,P.B. NO 550, KOLKATA, WEST BENGAL,PIN - 700 001.",,KOLKATA,KOLKATA,WEST BENGAL
UBIN0530191,Union Bank of India,UBIN0530191,700026024,HOWRAH,"49/1, G.T. ROAD (HOWRAH SOUTH), P.B. NO.10,DIST. HOWRAH, WEST BENGAL,PIN - 713 407.",,HOWRAH,HOWRAH,WEST BENGAL
UBIN0530204,Union Bank of India,UBIN0530204,753026002,CUTTACK  MAIN,"CHOUDHURY BAZAR, POST BOX NO. 90,DIST. CUTTACK, ORISSA, PIN - 753 001.",,CUTTACK,CUTTAK,ORISSA
UBIN0530212,Union Bank of India,UBIN0530212,NON MICR,ROURKELA MAIN,"ROSY SHOPPING CENTRE, 1ST FLOOR,MAIN ROAD, ROURKELA, DIST. SUNDERGARH,ORISSA, PIN - 769 001.",,RAURKELA,SUNDERGARH,ORISSA
UBIN0530221,Union Bank of India,UBIN0530221,226026002,LUCKNOW MAIN,"29, HAZRATGANJ, P.B. NO. 101,LUCKNOW, UTTAR PRADESH,PIN - 226 001.",,LUCKNOW,LUCKNOW,UTTAR PRADESH
UBIN0530239,Union Bank of India,UBIN0530239,NON MICR,MASAULI,AT   POST MASAULI  DIST. BARABANKI  UTTAR PRADESH  PIN  225204,(0522) 255226,MASAULI,BARABANKI,UTTAR PRADESH
UBIN0530247,Union Bank of India,UBIN0530247,NON MICR,RAI BAREILLY,"KUTCHERY ROAD, NEAR BHARAT SERVICE STN.,RAEBARELI, DIST. KANPUR, UTTAR PRADESH,PIN - 229 001.",(0535)-2202829,RAE BARELI,RAEBAREILI,UTTAR PRADESH
