ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
INDB0000412,Indusind Bank Ltd,INDB0000412,301234202,BHIWADI,"GROUND FLOOR, A-6, BHAGAT SINGH COLONY, ADJ. HERO SHOW ROOM,DELHI-ALWAR HIGHWAY, BHIWADI-301 019, ALWAR DIST, RAJASTHAN",01493-230083,BHIWADI,ALWAR,RAJASTHAN
INDB0000422,Indusind Bank Ltd,INDB0000422,831234003,KHARSAWAN,"GROUND FLOOR OF THE BUILDING CHANDNI CHOWK, 
KUCHAI ROAD.POIPS:
KHARSAWAN- 833 216.JHARKHAND
","06583-254803, 06583-254804, 
06583-254805--(FAX)",KHARSAWAN,SARAIKELA-KHARSAWAN,JHARKHAND
INDB0000425,Indusind Bank Ltd,INDB0000425,767234102,SONAPUR,"GROUND FLOOR,PO- MAJHIPADA, MARKET ROAD,SONAPUR, DIST.SUBRNAPUR – 762 016, ODISHA.
","06654-220134
06654-220135
06654-220136--(FAX)

",SONEPUR,SONEPUR,ORISSA
INDB0000428,Indusind Bank Ltd,INDB0000428,344234002,BARMER,"GROUND FLOOR, “OMEGA TOWER”, PROPERTY NO 414, ROY COLONY, NEAR COLLECTOR’S BUNGLOW, BARMER-344 001, RAJASTHAN

",02912 -221005-6 FAX 02912 -221105,BARMER,BARMER,RAJASTHAN
INDB0000429,Indusind Bank Ltd,INDB0000429,304234002,DEOLI,"GROUND FLOOR,“GOYAL SALES CORPORATION”, PLOT NO.16 & 17,WARD NO 18, OPP. GOYAL MOTORS, KOTA MAIN ROAD, DEOLI-304 804,TONK DIST, RAJASTHAN
","01434-232433/35/
01434-232434
",DEOLI,TONK,RAJASTHAN
INDB0000432,Indusind Bank Ltd,INDB0000432,160234014,"PHASE – XI, MOHALI","BASEMENT & GROUND FLOOR, SCF NO. 36, PHASE – XI, MOHALI – 160062 (PUNJAB)",0172- 5058210,SAS NAGAR(MOHALI),RUPNAGAR,PUNJAB
INDB0000435,Indusind Bank Ltd,INDB0000435,226234003,OBRI,"UPPER GROUND FLOOR AT MITRA PLAZA, 507-508 
OBRI GRAM, OPP. DM NIVAS, 
BARABANKI DISTT. – 225001 (UP)
","05248-225822, 226822 

",OBAREE,BARA BANKI,UTTAR PRADESH
INDB0000436,Indusind Bank Ltd,INDB0000436,302234005,MAHAPURA,"GROUND FLOOR, SHOP NO. 10,11 & 12, SHIVANANDAPURI VISTAR, KALWADA ROAD, MAHAPURA – 302026.  JAIPUR DISTT. RAJASTHAN","0141- 2251748, 2251749, 2251746
",MAHAPURA,JAIPUR,RAJASTHAN
INDB0000439,Indusind Bank Ltd,INDB0000439,327234002,BANSWARA,"GROUND FLOOR,  PLOT NO. – 174/A, B, C & D, 
MOHAN COLONY, UDAIPUR ROAD, 
BANSWARA – 327001 (RAJASTHAN)
","02962 – 240767, 241166, 240065 
",BANSWARA,BANSWARA,RAJASTHAN
INDB0000441,Indusind Bank Ltd,INDB0000441,342234003,PAOTA- JODHPUR,"GROUND FLOOR, PLOT NO. 114 & 115, LAXMAN BHAWAN, POLO 1ST, PAOTA, FACING MAIN MANDORE ROAD, JODHPUR – 342 006 (RAJASTHAN)",0291-2545601-2 FAX 0291-2545603,JODHPUR,JODHPUR,RAJASTHAN
INDB0000452,Indusind Bank Ltd,INDB0000452,342234502,SOOR SAGAR,"“ DURGA VILLA”, MANNA KI BADI, FIDUSAR ROAD, SOOR SAGAR – 342 024, DIST:JODHPUR (RAJASTHAN) ",0291-2780784 - 85 FAX 0291-2781785,SURSAGAR,JODHPUR,RAJASTHAN
INDB0000453,Indusind Bank Ltd,INDB0000453,342234501,BORANADA,"GROUND FLOOR AT SHOP NO. S-9,S - 10, RIICO HOUSING COLONY, BALOTARA ROAD, BORANADA – 342 012, DISTRICT. JODHPUR (RAJASTHAN)","02931-281310-73, FAX 02931-281173",BARANADA,JODHPUR,RAJASTHAN
INDB0000389,Indusind Bank Ltd,INDB0000389,110234039,JASOLA,"SHOP NO.GF-1,2 & 5, GROUND FLOOR, TOI CENTRE, JASOLA, NEW DELHI - 110025","011-41008510, 41008511",DELHI,DELHI,DELHI
INDB0000390,Indusind Bank Ltd,INDB0000390,533234402,RAMACHANDRAPURAM,"GROUND FLOOR, “KRISHNAM RAJU COMPLEX”, 28-1-7/1, MAIN ROAD, RAMACHANDRAPURAM- 533 255,  EAST GODAVARI DIST, AP",08857-244402 /03 /04,RAMACHANDRAPURAM,EAST GODAVARI,ANDHRA PRADESH
INDB0000394,Indusind Bank Ltd,INDB0000394,793234002,SHILLONG,"“ HOTEL PEGASUS  CROWN”, HOUSE NO 194, WARD NO 10, JAIL ROAD, POLICE BAZAAR, SHILLONG- 793 001, MEGHALAYA","0364-2501490, 2501405, 2501504, 2501479",SHILLONG,EAST KHASI HILLS,MEGHALAYA
INDB0000397,Indusind Bank Ltd,INDB0000397,712234002,"TARAKESHWAR, HOOGLY","GROUND FLOOR AT TC ROAD, SARDAPALLY, TARAKESHWAR, HOOGLY DIST- 712 710,WEST BENGAL","03212-278220, 278221, 278219",TARAKESWAR,HUGLI,WEST BENGAL
INDB0000399,Indusind Bank Ltd,INDB0000399,411234010,SHIKRAPUR,"GROUND FLOOR, “SAMBHAJI RAO KARANJE COMPLEX”, NAGAR ROAD, AT& POST SHIKRAPUR- 412 208, TAL SHIRUR, DIST: PUNE, MAHARASHTRA","02137 - 286136,  286137
",SHIRUR,PUNE,MAHARASHTRA
INDB0000400,Indusind Bank Ltd,INDB0000400,387234001,NADIAD,"GROUND FLOOR, “D-CUBE”, NEAR KIDNEY HOSPITAL, PETLAD ROAD, NADIAD-387 001, GUJARAT",0268 2520081 / 2520082 / 2520146  / 252282 / 2520147,NADIAD,KHEDA,GUJARAT
INDB0000401,Indusind Bank Ltd,INDB0000401,110234037,"GOLF COURSE ROAD,  GURGAON","GROUND FLOOR AT SHOP NO 2, ’ SUNCITY BUSINESS TOWER’, SECTOR-54,  GOLF COURSE ROAD,  GURGAON- 122 002, HARYANA","0124 -2573567, 2572567",GURGAON,GURGAON,HARYANA
INDB0000402,Indusind Bank Ltd,INDB0000402,400234033,"THAKUR COMPLEX, KANDIVALI-E, MUMBAI","SHOP. NO 2,3,4,5 & 6, KANAKIA PARK II CHS, THAKUR COMPLEX, KANDIVALI-E, MUMBAI-400 101","022 2870 1139,  28704993 / 5526 / 5571 / 6411",MUMBAI,GREATER BOMBAY,MAHARASHTRA
INDB0000403,Indusind Bank Ltd,INDB0000403,360234003,"RING ROAD, RAJKOT","GROUND FLOOR,  SHOP NO. 5& 6(PART) “ THE IMPERIAL HEIGHTS”, 150FT RING ROAD, OPP.ISCON PROZONE MALL, KALAWAD ROAD, RAJKOT-360 007, GUJARAT",0281-2571850 / 60 /70,RAJKOT,RAJKOT,GUJARAT
INDB0000406,Indusind Bank Ltd,INDB0000406,400234034,"SECTOR NO.17, VASHI","GROUND FLOOR, SHOP. NO. 5, MAHATMA PHULE BHAVAN, PLOT NO.66, SECTOR NO.17, VASHI, NAVI MUMBAI- 400 703","022 -27668457 /58/62/63, 27668456, 27668464, ",THANE,THANE,MAHARASHTRA
INDB0000409,Indusind Bank Ltd,INDB0000409,NA,KHAMANON,"1ST FLOOR, OPP. MANDI, LUDHIANA –CHANDIGARH HIGHWAY, KHAMMANON-141 801, DIST: FATEHGARH SAHEB, PUNJAB","01628-503440,42,43,44 FAX NO -  01628-503441 ",KHAMANON,FATEHGARH SAHIB,PUNJAB
INDB0000410,Indusind Bank Ltd,INDB0000410,250234002,MEERUT,"GROUND FLOOR “TYAGI MARKET”, # 22, TEJ GARHI, GARH ROAD,  MEERUT- 250 004, UTTAR PRADESH",0121-2604771,MEERUT,MEERUT,UTTAR PRADESH
INDB0000411,Indusind Bank Ltd,INDB0000411,301234002,ALWAR,"GROUND FLOOR  “DREAMS”, NEAR BIJLI GHAR CIRCLE, GAURAV PATH, ALWAR- 301 001, RAJASTHAN ","0144 - 2701368, 2701072",ALWAR,ALWAR,RAJASTHAN
INDB0000413,Indusind Bank Ltd,INDB0000413,680234003,KODUNGALLUR,"GROUND FLOOR, AT “ROYAL SPOT SHOPPING MALL” NORTH NADA, KODUNGALLUR, TRISSUR DIST- 680 664, KERALA","0480-2809210 /220/240, 2809250",KODUNGALLUR,THRISSUR,KERALA
INDB0000414,Indusind Bank Ltd,INDB0000414,370234501,NARANPAR PASAYALI,"GROUND + FIRST FLOOR, NARANPUR, UPLOVAS, NARANPAR PASAYALI- 370 429, KACHCH DIST, GUJARAT","02832 – 282300, 282307, 282302 282303",NARANPAR,KACHCHH,GUJARAT
