ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
SBIN0000001,State Bank of India,SBIN0000001,700002021,KOLKATA MAIN,"SAMRIDDHI BHAWAN, 1 STRAND ROAD, KOLKATA 700 001",501566-568 TEL-033 22487602 / 22130491 / 22488599 / 22485633,KOLKATA,KOLKATA,WEST BENGAL
SBIN0000002,State Bank of India,SBIN0000002,799002002,AGARTALA,"H.G.BASAK RD., AGARTALA, TRIPURA-779001",IP:602401: T:0381-2301669;2300294,AGARTALA,WEST TRIPURA,TRIPURA
SBIN0000003,State Bank of India,SBIN0000003,224002001,AKABARPUR,AMBEDKAR NAGAR  UTTAR PRADESH PIN  224122,"05271-244102,246546",AMBEDKAR NAGAR,KANPUR DEHAT,UTTAR PRADESH
SBIN0000004,State Bank of India,SBIN0000004,700002002,ALIPORE,24 BY 1 BY 1  ALIPORE ROAD   T  KOLKATA  W BENGAL 700027,033-24798631 IP:500561,KOLKATA,KOLKATA,WEST BENGAL
SBIN0000005,State Bank of India,SBIN0000005,736002501,ALIPURDUAR,DIST   JALPAIGURI  WEST BENGAL 736121,03564-255023/255118 IP-504401,JALPAIGURI,JALPAIGURI,WEST BENGAL
SBIN0000006,State Bank of India,SBIN0000006,211002002,ALLAHABAD,"KUTCHERY ROAD, ALLAHABAD U.P. 211002",IP: 351401-2,ALLAHABAD,ALLAHABAD,UTTAR PRADESH
SBIN0000007,State Bank of India,SBIN0000007,759002001,ANGUL,ANGUL-759122,IP-651471   022-230324/ 232665,ANGUL,ANGUL,ORISSA
SBIN0000008,State Bank of India,SBIN0000008,712002102,ARAMBAGH,"LINK RD., P.O. ARAMBAGH, HOOGHLY DI., W.B. 712601",502416                                         03211-258254,ARAMBAGH,HOOGHLY,WEST BENGAL
SBIN0000009,State Bank of India,SBIN0000009,854002002,ARARIA,"DIST  ARARIA, BIHAR 854311","IP:750339, 06453-222336,222813, FAX:06453-222010",ARARIA,ARARIA,BIHAR
SBIN0000010,State Bank of India,SBIN0000010,802002102,AARAH,"NAVADA, ARRAH, BIHAR",IP: 550766,BHOJPUR,BHOJPUR,BIHAR
SBIN0000011,State Bank of India,SBIN0000011,713002100,ASANSOL,"DNR MORE, ASANSOL, BURDWAN",IP- 503401/402 TEL-0341-2250385/2254728,ASANSOL,BARDHAMAN,WEST BENGAL
SBIN0000012,State Bank of India,SBIN0000012,761002010,ASKA,"ASKA, DT GANJAM, ORISSA STATE, PIN 761 110",06822-273049,ASKA,GANJAM,ORISSA
SBIN0000013,State Bank of India,SBIN0000013,824002002,AURANGABAD,"DIST  AURANGABAD, BIHAR 824101","06186-223139, 222974, 224150",AURANGABAD,AURANGABAD,BIHAR
SBIN0000014,State Bank of India,SBIN0000014,276002001,AZAMGARH,"AZAMGARH, U.P.276001",IP:353427/353426,AZAMGARH,AZAMGARH,UTTAR PRADESH
SBIN0000015,State Bank of India,SBIN0000015,271002035,BAHRAICH,"PADMA MKT.NR.CHITRASHALA TALKIES,BAHRAICH,U.P",IP: 350661,PRATAPGARH,BAHRAICH,UTTAR PRADESH
SBIN0000016,State Bank of India,SBIN0000016,756002001,BALASORE,"BALASORE, ORISSA-756001",IP-651476    6782-263468/ 265226,BALASORE,BALASORE,ORISSA
SBIN0000017,State Bank of India,SBIN0000017,277002002,BALLIA,DIST   BALLIA  UTTAR PRADESH 277001,IP: 353794,BALLIA,BALIA,UTTAR PRADESH
SBIN0000018,State Bank of India,SBIN0000018,700002010,BALLYGUNGE,"CALCUTTA,",IP:500537,KOLKATA,KOLKATA,WEST BENGAL
