ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
FDRL0000001,The Federal Bank Ltd,FDRL0000001,400049001,MUMBAI / FUNDS & INVESTMENTS,"FUNDS AND INVESTMENT BR, IST FLOOR, 12/227, NARIMAN BHAVAN, NARIMAN POINT, MUMBAI, 400 026","022-67262626, BBYS@FEDERALBANK.CO.IN",MUMBAI,GREATER BOMBAY,MAHARASHTRA
FDRL0000035,The Federal Bank Ltd,FDRL0000035,NON MICR,ACCOUNTS DEPARTMENT,"FEDERAL TOWERS, MARINE DRIVE, ERNAKULAM - 682031",0484 2385593 2385596 5385595 ACCOUNTS@FEDERALBANK.CO.IN,KOCHI,ERNAKULAM,KERALA
FDRL0000037,The Federal Bank Ltd,FDRL0000037,682049043,INFORMATION TECHNOLOGY DEPARTMENT,"FEDERAL TOWERS, ALUVA 683101 ERNAKULAM DIST KERALA",0484 2630437 2634214 FEDNETRM@FEDERALBANK.CO.IN,ALUVA,ERNAKULAM,KERALA
FDRL0000211,The Federal Bank Ltd,FDRL0000211,APPLIED FOR,THIRUVANANTHAPURAM/REGIONAL OFFICE,"REGIONAL OFFICE,P.B. NO. 303, FEDERAL TOWERS, M.G.ROAD, STATUE-695 001","0471-2335976, 0471-2335976, TVMR@FEDERALBANK.CO.IN",THIRUVANANTHAPURAM,THIRUVANANTHAPURAM,KERALA
FDRL0000317,The Federal Bank Ltd,FDRL0000317,APPLIED FOR,PUNE RETAIL HUB,"RETAIL HUB , FIRST FLOOR, SAIKRUPA BUILDING, OPP. SPENCERS,BHANDARKAR ROAD, DECCAN, PUNE -411004",020 25651004,PUNE,PUNE,MAHARASHTRA
FDRL0000501,The Federal Bank Ltd,FDRL0000501,682049001,ERNAKULAM / SERVICE,"SERVICE BRANCH, GROUND FLOOR, FEDERAL TOWERS, ERNAKULAM, 682 031, KERALA",EKM@FEDERALBANK.CO.IN PH NO.: 0484-2311728(SM),KOCHI,ERNAKULAM,KERALA
FDRL0000502,The Federal Bank Ltd,FDRL0000502,600049001,CHENNAI / FUNDS & INVESTMENT,"62 (UPSTAIRS), MOUNT ROAD,  , CHENNAI, 600 002, TAMILNADU","VAIDYANATHAN C S, E MAIL:MDS@FEDERALBANK.CO.IN PH NO.: 044-28583306(SM)",CHENNAI,CHENNAI,TAMIL NADU
FDRL0000503,The Federal Bank Ltd,FDRL0000503,110049001,NEWDELHI / FUNDS & INVESTMENT,"FUNDS AND INVESTMENT BR., M-74, CONNAUGHT CIRCUS,  , NEW DELHI, 110 001, NEW DELHI","ABRAHAM P P, E MAIL:NDL@FEDERALBANK.CO.IN PH NO.: 011-23415434(M)",DELHI,NEW DELHI,DELHI
FDRL0000504,The Federal Bank Ltd,FDRL0000504,400049001,MUMBAI / FUNDS & INVESTMENTS,"FUNDS AND INVESTMENT BR, IST FLOOR, RAJA BAHADUR MANSION, 32, BS MARG,, FORT, MUMBAI, 400 001, MAHARASHTRA","ISSAC E A, E MAIL:BBYS@FEDERALBANK.CO.IN PH NO.: 022-22653780(SM)",MUMBAI,GREATER BOMBAY,MAHARASHTRA
FDRL0000505,The Federal Bank Ltd,FDRL0000505,700049001,KOLKATA /FUNDS & INVESTMENT,"FUNDS & INVESTMENT BRANCH, 1/1, CAMAC STREET, 3RD FLOOR, KOLKATA, 700 016, WEST BENGAL","PREM NARAYANA DASS, E MAIL:CAL@FEDERALBANK.CO.IN PH NO.: 033-22171743 (M)",KOLKATA,KOLKATA,WEST BENGAL
FDRL0000506,The Federal Bank Ltd,FDRL0000506,560049001,BANGALORE / FUNDS & INVESTMENT,"FUNDS AND INVESTMENT BRANCH, NO.11,  2ND FLOOR, 1ST CROSS, GANDHINAGAR, BANGALORE, 560 009, KARNATAKA","MOHANDAS P P, E MAIL:BGR@FEDERALBANK.CO.IN PH NO.: 080-22201998(M)",BANGALORE,BANGALORE URBAN,KARNATAKA
FDRL0000507,The Federal Bank Ltd,FDRL0000507,695049001,THIRUVANANTHAPURAM / SERVICE,"SERVICE BRANCH, FEDERAL TOWERS (2ND FLOOR), M G ROAD, THIRUVANANTHAPURAM, 695 001, KERALA","SASIDHARAN NAIR P, E MAIL:TVM@FEDERALBANK.CO.IN PH NO.: 0471-2328589(M)",THIRUVANANTHAPURAM,TRIVANDRUM,KERALA
FDRL0000508,The Federal Bank Ltd,FDRL0000508,673049001,KOZHIKODE SERVICE,"1ST FLOOR, FEDERAL TOWERS, 27/97G, MAVOOR ROAD, ARAYIDATHPALAM, KOZHIKODE, 673 016, KERALA","MOHAMED SIDDIQUE K M, E MAIL:KKDS@FEDERALBANK.CO.IN PH NO.: 0495-2744569 (M)",CALICUT,KOZHIKODE,KERALA
FDRL0000509,The Federal Bank Ltd,FDRL0000509,680049001,THRISSUR / SERVICE,"SERVICE BRANCH, DOOR NO.28/637, ANJALI COMMERCIAL COMPLEX, ROUND NORTH, THRISSUR, 680 001, KERALA","DANIEL PAUL K, E MAIL:TCR@FEDERALBANK.CO.IN PH NO.: 0487-2321182(M)",THRISSUR,TRISSUR,KERALA
FDRL0000510,The Federal Bank Ltd,FDRL0000510,NONMICR,ALAPUZHA / SERVICE,"421 N,2ND FLOOR, CHANDRA SQUARE, CULLEN ROAD, MULLAKKAL, ALAPUZHA, 688 001, KERALA","RADHAKRISHNAN P, E MAIL:APYS@FEDERALBANK.CO.IN PH NO.: 0477-2230636",ALAPPUZHA,ALAPUZZHA,KERALA
FDRL0000511,The Federal Bank Ltd,FDRL0000511,NONMICR,KOLLAM / SERVICE,"MAH BUILDING, BEACH ROAD, KOLLAM PO, KOLLAM, 691 001, KERALA","SIVARAJ P, E MAIL:QLNS@FEDERALBANK.CO.IN PH NO.: 0474-2766952(M)",KOLLAM,KOLLAM,KERALA
