ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE
TMBL0000001,Tamil Nadu Mercantile Bank,TMBL0000001,,THOOTHUKUDI MAIN,"56 & 57 BEACH ROAD, TUTICORIN-628001 TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,TUTICORIN,THOOTHKUDI,DELHI
TMBL0000002,Tamil Nadu Mercantile Bank,TMBL0000002,625060002,MADURAI MAIN.,"51, EAST AVANI MOOLA STREET, MADURAI-625001 TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,MADURAI,MADURAI,TAMIL NADU
TMBL0000003,Tamil Nadu Mercantile Bank,TMBL0000003,,SIVAKASI,"1-2-1 SUVISESHAMUTHU VATHYAR STREET, SIVAKASI-626123 TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,SIVAKASI,VIRUDHUNAGAR,TAMIL NADU
TMBL0000004,Tamil Nadu Mercantile Bank,TMBL0000004,,VIRUDHUNAGAR,"129-A, MADURAI ROAD, VIRUDHUNAGAR-626001 TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,MADURAI,MADURAI,TAMIL NADU
TMBL0000005,Tamil Nadu Mercantile Bank,TMBL0000005,,NAGERCOIL,"229-A, CHARLES MILLER STREET, COLLEGE ROAD, NAGERCOIL-629001 TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,NAGERCOIL,KANNIYAKUMARI,TAMIL NADU
TMBL0000006,Tamil Nadu Mercantile Bank,TMBL0000006,,DINDIGUL,"SALAI ROAD, DINDIGUL-624001 TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,DINDIGUL,DINDIGUL,TAMIL NADU
TMBL0000007,Tamil Nadu Mercantile Bank,TMBL0000007,,THENI,"1084-A,PERIYAKULAM ROAD, THENI-626531 TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,PERIYAKULAM,THENI,TAMIL NADU
TMBL0000008,Tamil Nadu Mercantile Bank,TMBL0000008,600060005,CHENNAI-21,"20,GOLLAWAR AGRAHARAM ROAD, OLD WASHERMENPET, CHENNAI-600021 TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,CHENNAI,CHENNAI,TAMIL NADU
TMBL0000009,Tamil Nadu Mercantile Bank,TMBL0000009,,VILATHIKULAM,"10/21/A1, ETTAYAPURAM ROAD, VILATHIKULAM-628907 TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,VILATHIKULAM,THOOTHKUDI,TAMIL NADU
TMBL0000010,Tamil Nadu Mercantile Bank,TMBL0000010,,MUHAVOOR,"3-MAIN ROAD, MUHAVOOR-626111 TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,MUHAVOOR,VIRUDHUNAGAR,TAMIL NADU
TMBL0000011,Tamil Nadu Mercantile Bank,TMBL0000011,,KAMUTHI,"26,MUTHUKULATHUR ROAD, KAMUTHI, TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,KAMUTHI(KAMUDI),RAMANATHAPURAM,TAMIL NADU
TMBL0000012,Tamil Nadu Mercantile Bank,TMBL0000012,,PAVOORCHATRAM,"5-10-108, MAIN ROAD, PAVOORCHATRAM-627808 TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,TIRUNELVELI,TIRUNELVELI,TAMIL NADU
TMBL0000013,Tamil Nadu Mercantile Bank,TMBL0000013,,PUTHIAMPUTHUR,"12/4D/1,MELAMADAM, PUTHIAMPUTHUR-628402 TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,PUTHIAMPUTHUR,THOOTHKUDI,TAMIL NADU
TMBL0000014,Tamil Nadu Mercantile Bank,TMBL0000014,,RAJAKKAMANGALAM,"4-34 G, NAGERCOIL-COLACHAL ROAD, RAJAKKAMANGALAM-629502 TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,RAJAKKAMANGALAM,KANNIYAKUMARI,TAMIL NADU
TMBL0000015,Tamil Nadu Mercantile Bank,TMBL0000015,625060005,NAGAMALAI PUDUKOTTAI,"5/69-A, THENI MAIN ROAD, NAGAMALAI PUTHUKOTTAI-625019 TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,MADURAI,MADURAI,TAMIL NADU
TMBL0000016,Tamil Nadu Mercantile Bank,TMBL0000016,641060002,COIMBATORE-MAIN,"122,BIG BAZAR STREET, COIMBATORE-641001 TAMILNADU",044-28131091/92  EMAIL- RTGS@TNMBONLINE.COM,COIMBATORE,COIMBOTORE,TAMIL NADU
